id,cases

1,74
2,75
3,84
4,107
5,114
6,137
7,146
8,166
9,195
10,258
11,360
12,433
13,492
14,519
15,649
16,724
17,909
18,979
19,1071
20,1397
21,1637
22,1965
23,2301
24,2902
25,3374
26,4067
27,4421
28,5194
29,5734
30,6412
31,7447
32,8356
33,9152
34,10363
35,11439
36,12380
37,13387
38,14378
39,15712
40,17265
41,18601
42,19984
43,21393
44,23077
45,24506
46,26496
47,27892
48,29435
49,31332
50,33050
51,35043
52,37336
53,39980
54,42533
55,46433
56,49390
57,52951
58,56341
59,59662
60,62939
61,67152
62,70756
63,74281
64,78003
65,81970
66,85940
67,90927
68,96169
69,101139
70,106750
71,112359
72,118447
73,125101
74,131868
75,138845
76,145380
77,151767
78,158333
79,165799
80,173763
81,182143
82,190535
83,198706
84,207615
85,216919
86,226770
87,236657
88,246628
89,256611
90,266598
91,276583
92,286579
93,297535
94,308993
95,320922
96,332424
97,343091
98,354065
99,366946
100,380532

